no,specimen_id,skeleton_code,element,asa_bones_type,location,district,date_found,browRidge,mastoidSize,jawShape,cranialSuture,subpubicAngle,sciaticNotch,pubicSymphysis,femurLength,femurHeadDiameter,growthPlate,humerusLength,boneRobusticity,ribShape,sternumLength,teethType,dentalWear,eruptionStage,expected_sex,expected_age,expected_height_cm,asa_predicts_sex,asa_predicts_age,asa_predicts_height,asa_confidence,asa_limits,note
1,CHASA-927,SK-927,Maxilla,Skull,Polonnaruwa,Polonnaruwa,2016-06-16,Smooth,< 25mm,U Shaped,Completely Closed,,,,,,,,,,,,,,Female,55+,,Female,55+,Unknown,94.0%,,
2,CHASA-928,SK-928,Cranium,Skull,Pomparippu,Puttalam,2014-01-10,Smooth,< 25mm,U Shaped,Open,,,,,,,,,,,,,,Female,12-18,,Female,18 - 25,Unknown,94.0%,,
3,CHASA-929,SK-929,Mandible,Skull,Sigiriya,Matale,2015-09-14,Prominent,> 30mm,Robust,Completely Closed,,,,,,,,,,,,,,Male,55+,,Male,55+,Unknown,94.0%,,
4,CHASA-930,SK-930,Frontal,Skull,Bellanbandi Palassa,Ratnapura,2022-08-14,Moderate,25 - 30mm,Rounded,Completely Closed,,,,,,,,,,,,,,Unknown,55+,,Indeterminate,55+,Unknown,94.0%,,AMBIGUOUS - indicators conflict
5,CHASA-931,SK-931,Mandible,Skull,Pomparippu,Puttalam,2023-03-15,Prominent,> 30mm,Robust,Open,,,,,,,,,,,,,,Male,18-25,,Male,18 - 25,Unknown,94.0%,,
6,CHASA-932,SK-932,Cranium,Skull,Sigiriya,Matale,2013-09-15,Smooth,< 25mm,U Shaped,Open,,,,,,,,,,,,,,Female,18-25,,Female,18 - 25,Unknown,94.0%,,
7,CHASA-933,SK-933,Frontal,Skull,Sigiriya,Matale,2017-01-11,Smooth,< 25mm,U Shaped,Open,,,,,,,,,,,,,,Female,18-25,,Female,18 - 25,Unknown,94.0%,,
8,CHASA-934,SK-934,Mandible,Skull,Anuradhapura Citadel,Anuradhapura,2021-03-16,Smooth,< 25mm,U Shaped,Open,,,,,,,,,,,,,,Female,12-18,,Female,18 - 25,Unknown,94.0%,,
9,CHASA-935,SK-935,Skull,Skull,Fa Hien Cave,Kalutara,2016-09-17,Smooth,< 25mm,U Shaped,Moderate Closure,,,,,,,,,,,,,,Female,35-45,,Female,35 - 45,Unknown,94.0%,,
10,CHASA-936,SK-936,Skull,Skull,Godavaya,Hambantota,2024-08-12,Smooth,< 25mm,U Shaped,Open,,,,,,,,,,,,,,Female,12-18,,Female,18 - 25,Unknown,94.0%,,
11,CHASA-937,SK-937,Maxilla,Skull,Anuradhapura Citadel,Anuradhapura,2024-05-12,Smooth,< 25mm,U Shaped,Mostly Closed,,,,,,,,,,,,,,Female,45-55,,Female,45 - 55,Unknown,94.0%,,
12,CHASA-938,SK-938,Skull,Skull,Mihintale,Anuradhapura,2013-01-17,Moderate,25 - 30mm,Rounded,Partially Open,,,,,,,,,,,,,,Unknown,25-35,,Indeterminate,25 - 35,Unknown,94.0%,,AMBIGUOUS - indicators conflict
13,CHASA-939,SK-939,Femur,Lower Limb,Bellanbandi Palassa,Ratnapura,2018-09-17,,,,,,,,468,44.7,Fused,,,,,,,,Male,35-45,173.2,Male,25+,173.2 cm,92.0%,age from growth plate only — cannot resolve above 25+,
14,CHASA-940,SK-940,Patella,Lower Limb,Polonnaruwa,Polonnaruwa,2022-03-18,,,,,,,,355,38.3,Fused,,,,,,,,Female,25-35,148.9,Female,25+,148.9 cm,92.0%,age from growth plate only — cannot resolve above 25+,
15,CHASA-941,SK-941,Fibula,Lower Limb,Pomparippu,Puttalam,2015-09-19,,,,,,,,411,39,Fused,,,,,,,,Female,35-45,161,Female,25+,160.9 cm,92.0%,age from growth plate only — cannot resolve above 25+,
16,CHASA-942,SK-942,Femur,Lower Limb,Bellanbandi Palassa,Ratnapura,2012-03-12,,,,,,,,465,44.2,Fused,,,,,,,,Male,55+,172.5,Male,25+,172.5 cm,92.0%,age from growth plate only — cannot resolve above 25+,
17,CHASA-943,SK-943,Fibula,Lower Limb,Pomparippu,Puttalam,2012-04-16,,,,,,,,385,39.1,Fused,,,,,,,,Female,45-55,155.3,Female,25+,155.3 cm,92.0%,age from growth plate only — cannot resolve above 25+,
18,CHASA-944,SK-944,Patella,Lower Limb,Batadomba Lena,Ratnapura,2018-08-18,,,,,,,,404,38,Fused,,,,,,,,Female,35-45,159.5,Female,25+,159.4 cm,92.0%,age from growth plate only — cannot resolve above 25+,
19,CHASA-945,SK-945,Calcaneus,Lower Limb,Godavaya,Hambantota,2017-07-12,,,,,,,,453,44.6,Fused,,,,,,,,Male,45-55,170,Male,25+,170.0 cm,92.0%,age from growth plate only — cannot resolve above 25+,
20,CHASA-946,SK-946,Fibula,Lower Limb,Batadomba Lena,Ratnapura,2018-07-18,,,,,,,,403,42.2,Fused,,,,,,,,Unknown,35-45,159.3,Indeterminate,25+,159.2 cm,92.0%,age from growth plate only — cannot resolve above 25+,AMBIGUOUS - indicators conflict
21,CHASA-947,SK-947,Calcaneus,Lower Limb,Sigiriya,Matale,2013-02-10,,,,,,,,409,44.7,Fused,,,,,,,,Male,25-35,160.5,Male,25+,160.5 cm,92.0%,age from growth plate only — cannot resolve above 25+,
22,CHASA-948,SK-948,Calcaneus,Lower Limb,Bellanbandi Palassa,Ratnapura,2024-09-10,,,,,,,,391,40,Fused,,,,,,,,Female,35-45,156.6,Female,25+,156.6 cm,92.0%,age from growth plate only — cannot resolve above 25+,
