excavation_id,specimen_id,excavation_date,excavation_phase,depth_found,excavator_name,excavation_notes
EX-201,SPEC-201,1998-07-12,Phase 1,1.8,Dr. Perera,Site in stable clay layer with pottery fragments
EX-202,SPEC-202,2005-05-21,Phase 2,2.3,Dr. Silva,Some bone staining noted from soil contact
EX-203,SPEC-203,2011-11-03,Phase 1,1.5,Ms. Fernando,Dark soil matrix indicating old burial context
EX-204,SPEC-204,1994-08-30,Phase 3,0.9,Mr. Jayasuriya,Road construction nearby affected upper layers
EX-205,SPEC-205,2001-03-17,Phase 2,2.1,Dr. Nimal,Original burial depth intact with clear stratigraphy
EX-206,SPEC-206,1987-12-05,Phase 1,1.2,Ms. Anjali,Muddy fill with charcoal inclusions
EX-207,SPEC-207,2017-09-08,Phase 1,1.7,Mr. Arjun,Sandy deposit near coastal erosion zone
EX-208,SPEC-208,2009-04-14,Phase 4,0.6,Dr. Karthik,Fort wall collapse disturbed original context
EX-209,SPEC-209,1992-02-25,Phase 3,1.9,Dr. Wijaya,Silt layers indicate water-logged deposits
EX-210,SPEC-210,1985-10-11,Phase 2,0.7,Ms. Lakshmi,Charcoal rich layer associated with fire event
EX-211,SPEC-211,2003-06-19,Phase 1,1.4,Mr. Nuwan,Weathered soil with oxidation patterns
EX-212,SPEC-212,2010-01-07,Phase 2,2.4,Dr. Priya,Marine sand deposit with shell fragments
EX-213,SPEC-213,1999-11-29,Phase 1,1.1,Ms. Meera,Stable fill with minimal disturbance
EX-214,SPEC-214,2008-08-18,Phase 3,0.8,Dr. Sathya,Heavy clay deposits difficult to excavate
EX-215,SPEC-215,1996-05-09,Phase 2,1.6,Mr. Roshan,Rocky layers with limestone fragments
EX-216,SPEC-216,2012-03-22,Phase 1,2.0,Ms. Tharushi,Clay deposit with iron oxide staining
EX-217,SPEC-217,2004-12-13,Phase 4,0.9,Dr. Harsha,Charred deposit suggesting cremation context
EX-218,SPEC-218,1997-06-02,Phase 3,1.3,Mr. Chamara,Silty clay with occasional gravel inclusions
EX-219,SPEC-219,2015-07-25,Phase 1,1.5,Ms. Kavitha,Sandy loam with good visibility during excavation
EX-220,SPEC-220,2006-09-14,Phase 2,1.8,Dr. Amal,Stable sediment with clear stratigraphic boundaries
